,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
0,日,1.0,4,1,5,"['ニチ', 'ジツ']","['ひ', '-び', '-か']","['day', 'sun', 'Japan', 'counter for days']",天気のよい日です。,It's a nice day.
1,一,1.0,1,2,5,"['イチ', 'イツ']","['ひと-', 'ひと.つ']","['one', 'one radical (no.1)']",来週になると一家族が入ってくる。,Next week a family will move in.
2,国,2.0,8,3,5,['コク'],['くに'],['country'],日本はいい国です。,Japan is a nice country.
3,年,1.0,6,6,5,['ネン'],['とし'],"['year', 'counter for years']",今年は１９９０年です。,This is the year 1990.
4,大,1.0,3,7,5,"['ダイ', 'タイ']","['おお-', 'おお.きい', '-おお.いに']","['large', 'big']",昨夜、大地震があった。,There was a big earthquake last night.
5,十,1.0,2,8,5,"['ジュウ', 'ジッ', 'ジュッ']","['とお', 'と', 'そ']",['ten'],十から四を引けば六が残る。,"If you take four from ten, you have six."
6,二,1.0,2,9,5,"['ニ', 'ジ']","['ふた', 'ふた.つ', 'ふたたび']","['two', 'two radical (no. 7)']",二、三歩下がって下さい。,Please walk back a few steps.
7,中,1.0,4,11,5,['チュウ'],"['なか', 'うち', 'あた.る']","['in', 'inside', 'middle', 'mean', 'center']",中を見てもいいです。,You can look inside.
8,長,2.0,8,12,5,['チョウ'],"['なが.い', 'おさ']","['long', 'leader', 'superior', 'senior']",チームの長として私は彼に有能な助力を得た。,As head of the team I was ably assisted by him.
9,出,1.0,5,13,5,"['シュツ', 'スイ']","['で.る', '-で', 'だ.す', '-だ.す', 'い.でる', 'い.だす']","['exit', 'leave', 'go out', 'come out', 'put out', 'protrude']",このズボンはひざが出やすい。,These pants tend to go baggy at the knees.
10,三,1.0,3,14,5,"['サン', 'ゾウ']","['み', 'み.つ', 'みっ.つ']",['three'],二、三歩下がって下さい。,Please walk back a few steps.
11,時,2.0,10,16,5,['ジ'],"['とき', '-どき']","['time', 'hour']",７時に電話します。,I'll call you at seven.
12,行,2.0,6,20,5,"['コウ', 'ギョウ', 'アン']","['い.く', 'ゆ.く', '-ゆ.き', '-ゆき', '-い.き', '-いき', 'おこな.う', 'おこ.なう']","['going', 'journey', 'carry out', 'conduct', 'act', 'line', 'row', 'bank']",行と行との間をあける。,Leave a space between the lines.
13,見,1.0,7,22,5,['ケン'],"['み.る', 'み.える', 'み.せる']","['see', 'hopes', 'chances', 'idea', 'opinion', 'look at', 'visible']",あたりを見まわしたが、何も見えなかった。,"I looked around, but saw nothing."
14,月,1.0,4,23,5,"['ゲツ', 'ガツ']",['つき'],"['month', 'moon']",１０月３日です。,It's the third of October.
15,分,2.0,4,24,5,"['ブン', 'フン', 'ブ']","['わ.ける', 'わ.け', 'わ.かれる', 'わ.かる', 'わ.かつ']","['part', 'minute of time', 'segment', 'share', 'degree', '""ones lot""', 'duty', 'understand', 'know', 'rate', '1%', 'chances', 'shaku/100']",その電車は３分おきにでています。,Those trains run every three minutes.
16,後,2.0,9,26,5,"['ゴ', 'コウ']","['のち', 'うし.ろ', 'うしろ', 'あと', 'おく.れる']","['behind', 'back', 'later']",私は後から行きます。,I'll join you later.
17,前,2.0,9,27,5,['ゼン'],"['まえ', '-まえ']","['in front', 'before']",その前に入りますか。,Will I be able to get it before then?
18,生,1.0,5,29,5,"['セイ', 'ショウ']","['い.きる', 'い.かす', 'い.ける', 'う.まれる', 'うま.れる', 'う.まれ', 'うまれ', 'う.む', 'お.う', 'は.える', 'は.やす', 'き', 'なま', 'なま-', 'な.る', 'な.す', 'む.す', '-う']","['life', 'genuine', 'birth']",生の魚はすぐに悪くなってしまいます。,Raw fish easily goes bad.
19,五,1.0,4,31,5,['ゴ'],"['いつ', 'いつ.つ']",['five'],三に二を足すと五になる。,"Add two to three, and you get five."
20,間,2.0,12,33,5,"['カン', 'ケン']","['あいだ', 'ま', 'あい']","['interval', 'space']",長い間さがしていた本が見つかった。,I found the book I had long been looking for.
21,上,1.0,3,35,5,"['ジョウ', 'ショウ', 'シャン']","['うえ', '-うえ', 'うわ-', 'かみ', 'あ.げる', '-あ.げる', 'あ.がる', '-あ.がる', 'あ.がり', '-あ.がり', 'のぼ.る', 'のぼ.り', 'のぼ.せる', 'のぼ.す', 'たてまつ.る']","['above', 'up']",サリーはケンより２つ上です。,Sally is two years senior to Ken.
22,東,2.0,8,37,5,['トウ'],['ひがし'],['east'],わたしの大学はえきの東にあります。,My university is on the east of the train station.
23,四,1.0,5,47,5,['シ'],"['よ', 'よ.つ', 'よっ.つ', 'よん']",['four'],四かい書いてください。,Write it four times.
24,今,2.0,4,49,5,"['コン', 'キン']",['いま'],['now'],今、行くわ。,I'm coming.
25,金,1.0,8,53,5,"['キン', 'コン', 'ゴン']","['かね', 'かな-', '-がね']",['gold'],彼は金に困っている。,He is hard up for money.
26,九,1.0,2,55,5,"['キュウ', 'ク']","['ここの', 'ここの.つ']",['nine'],九引く六はいくつですか。,How many is nine minus six?
27,入,1.0,2,56,5,"['ニュウ', 'ジュ']","['い.る', '-い.る', '-い.り', 'い.れる', '-い.れ', 'はい.る']","['enter', 'insert']",三番目の、そしてもっとも重要な考えは、再入ということである。,The third and most important idea is that of reentry.
28,学,1.0,8,63,5,['ガク'],['まな.ぶ'],"['study', 'learning', 'science']",彼は非常に学がある。,He is very learned.
29,高,2.0,10,65,5,['コウ'],"['たか.い', 'たか', '-だか', 'たか.まる', 'たか.める']","['tall', 'high', 'expensive']",高感度フィルムは出してもいいですか。,Can I unload the high speed film?
30,円,1.0,4,69,5,['エン'],"['まる.い', 'まる', 'まど', 'まど.か', 'まろ.やか']","['circle', 'yen', 'round']",その手紙を送るのに１００円かかった。,It cost me 100 yen to send the letter.
31,子,1.0,3,72,5,"['シ', 'ス', 'ツ']","['こ', '-こ', 'ね']","['child', 'sign of the rat', '11PM-1AM', 'first sign of Chinese zodiac']",その子は病気で日曜から入院しています。,That child is sick and has been in the hospital since last Sunday.
32,外,2.0,5,81,5,"['ガイ', 'ゲ']","['そと', 'ほか', 'はず.す', 'はず.れる', 'と-']",['outside'],外はさむいでしょう。,"It’s cold outside, isn’t it?"
33,八,1.0,2,92,5,"['ハチ', 'ハツ']","['や', 'や.つ', 'やっ.つ', 'よう']","['eight', 'eight radical (no. 12)']",私は一か八か彼の挑戦を受けてみた。,I took a chance and accepted his challenge.
